管理番号,ビアガーデン名称,URL1,URL2,確度
271000,【大阪･梅田】ビアガーデン ホルツ,https://k015517.gorp.jp/,,◎
272004,【大阪･中之島】中之島リバーサイド･ビアガーデン,https://nakanoshimagate.jp/,https://nakanoshimagate.jp/news/20260601,◎
273008,【大阪･中央区】セントレジス シャンパン＆ビアガーデン,https://www.stregisbar.stregisosaka.com/lto-page,https://www.stregisbar.stregisosaka.com/,◎
274007,【大阪･難波】センタラ 難波天空のビアガーデン,https://www.centarahotelsresorts.com/centaragrand/ja/cgoj/sky-beer-garden,https://www.facebook.com/centaragrandosaka,◎
281014,【神戸･中央区】THE KOBE CRUISE ルミナス神戸2 納涼ビアガーデン,https://thekobecruise.com/,https://thekobecruise.com/topics/9275,◎
281100,【神戸･中央区】夜景ダイニングＸ肉バル 三宮テラス 三宮本店 ビアガーデン,https://kdvv501.gorp.jp/,https://www.instagram.com/sannomiya_terrace/,◎
282008,【兵庫･姫路】フリー スピリッツ ブリューイング 屋上ビアガーデン,https://freespirits.co.jp/,https://www.instagram.com/reel/DbNXSYuvyBH/,◎
285008,【兵庫･川西】URBAN EARTH BBQ 川西阪急店,https://bbq.urban-earth.jp/kawanishi-hankyu/,https://bbq.urban-earth.jp/kawanishi-hankyu/news/%e5%92%8c%e7%89%9b%ef%bc%86%e6%b5%b7%e9%ae%ae%e3%81%ae%e8%b1%aa%e8%8f%afbbq%e3%82%bb%e3%83%83%e3%83%88%e3%81%a7%e8%b4%85%e6%b2%a2%e3%81%aa%e3%81%b2%e3%81%a8%e3%81%a8%e3%81%8d%e3%82%92%f0%9f%8d%96/,◎
391009,【高知】濱長テラスビア,https://k-hamacho.com/,https://k-hamacho.com/page/tag/%E3%83%93%E3%82%A2%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3/,◎
411001,【佐賀】ダイニング＆テラス86 ビアガーデン,https://x.com/diningterrace86,https://www.instagram.com/diningterrace86/,◎
412001,【佐賀･嬉野】うれしの夏まるく ビアガーデン,https://ureshinomaruku.jp/,https://www.instagram.com/ureshinomaruku/,◎
